id,which explanation 1 or 2,# missing entities,# missing relationships,# extra entities,# extra relationships,correctness 1-5,clarity 1-5,is the rule logically sound? (1-3)
4,2.0,0.0,0.0,0.0,0.0,3.6666666666666665,4.333333333333333,3.0
151,1.0,0.0,0.3333333333333333,0.0,0.0,5.0,5.0,1.0
168,2.0,0.0,0.0,0.0,0.0,3.6666666666666665,4.666666666666667,2.6666666666666665
175,2.0,0.0,0.0,0.0,0.0,4.333333333333333,4.666666666666667,3.0
205,2.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4.666666666666667,5.0,3.0
287,2.0,0.16666666666666666,0.0,0.3333333333333333,0.0,2.6666666666666665,5.0,3.0
338,2.0,0.6666666666666666,0.0,0.0,0.0,4.666666666666667,4.666666666666667,2.0
362,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,4.0,5.0,2.3333333333333335
377,1.0,0.6666666666666666,0.0,0.0,0.0,4.333333333333333,4.666666666666667,2.0
378,2.0,0.3333333333333333,0.0,0.3333333333333333,1.0,3.3333333333333335,3.3333333333333335,3.0
399,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.666666666666667,4.666666666666667,3.0
402,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.333333333333333,5.0,1.0
408,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666666666667
411,1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0
418,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,5.0,3.0
445,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.6666666666666665,4.0,3.0
468,2.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,4.0,2.6666666666666665
510,2.0,0.0,0.0,0.0,0.0,5.0,4.0,2.3333333333333335
564,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,4.333333333333333,5.0,2.6666666666666665
574,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,4.0,4.666666666666667,2.6666666666666665
585,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,4.333333333333333,5.0,2.6666666666666665
586,2.0,0.3333333333333333,0.0,1.0,0.0,4.0,4.666666666666667,2.6666666666666665
596,2.0,0.0,0.0,0.3333333333333333,0.0,4.333333333333333,4.333333333333333,2.6666666666666665
